id,type,subtype,latin_preview,character_count,word_count,occurrence_count,source_count,hours,seasons,translation_priority,translation_status,needs_classification
calendar-title-007de1c421abdffddbc1,heading,calendar-title,S. Margaritæ Mariæ Alacoque Virginis ~ III. classis,51,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-014ea151b4f9619158dd,heading,calendar-title,Feria VI Quattuor Temporum Adventus ~ II. classis,49,7,1,1,,advent,metadata,untranslated,false
calendar-title-022497fce3ae6bb9afcd,heading,calendar-title,Feria quinta infra Hebdomadam VI post Octavam Pentecostes ~ IV. classis,71,10,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0320733f019ea870f639,heading,calendar-title,S. Agathæ Virginis et Martyris ~ III. classis,45,7,1,1,,septuagesima,metadata,untranslated,false
calendar-title-05156707aea80bc893e2,heading,calendar-title,Feria quinta infra Hebdomadam IX post Octavam Pentecostes ~ IV. classis,71,10,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-05c449071129846da7dc,heading,calendar-title,Feria Sexta Quattuor Temporum Septembris ~ II. classis,54,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-07605a5b72900a5cc78a,heading,calendar-title,Feria Quinta infra Hebdomadam XXI post Octavam Pentecostes IV. Octobris ~ IV. classis,85,12,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-084544deba21bd07ef9e,heading,calendar-title,In Dedicatione S. Michaëlis Archangelis ~ I. classis,52,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0847728254cea7a41f98,heading,calendar-title,Dominica Pentecostes ~ I. classis,33,4,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-087a52a02ae512c5b1d7,heading,calendar-title,S. Hedwigis Viduæ ~ III. classis,32,5,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-09b760937cc8a95070a7,heading,calendar-title,S. Andreæ Corsini Episcopi et Confessoris ~ III. classis,56,8,1,1,,septuagesima,metadata,untranslated,false
calendar-title-09fa40a9d115a45ef0e1,heading,calendar-title,S. Gulielmi Abbatis ~ III. classis,34,5,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0a11ccd02611e40ee6c5,heading,calendar-title,Sabbato infra Hebdomadam III in Quadragesima ~ III. classis,59,8,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-0a64b839eebcbdf6c314,heading,calendar-title,Dominica XXIV et Ultima Post Pentecosten V. Novembris ~ II. classis,67,10,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0af2890bd8c6503db015,heading,calendar-title,Feria Quinta infra Hebdomadam XVIII post Octavam Pentecostes IV. Septembris ~ IV. classis,89,12,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0b5e6ffcf2a2be57d714,heading,calendar-title,Ss. Cyrilli et Methodii Pont. et Conf. ~ III. classis,53,9,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0bd3fff412ce6aa5a8f8,heading,calendar-title,S. Pauli a Cruce Confessoris ~ III. classis,43,7,1,1,,eastertide,metadata,untranslated,false
calendar-title-0dcadca4c22b341bb557,heading,calendar-title,"Ss. Nerei, Achillei et Domitillæ Virg. atque Pancratii Martyrum ~ III. classis",78,11,1,1,,eastertide,metadata,untranslated,false
calendar-title-0e00f0b17a6c55e3d9e4,heading,calendar-title,Feria II infra Hebdomadam II post Epiphaniam ~ IV. classis,58,9,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0e2abb0e39fc11a165fd,heading,calendar-title,Feria secunda infra Hebdomadam VII post Octavam Pentecostes ~ IV. classis,73,10,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-0e3c0fbfb17de595830b,heading,calendar-title,Sabbato post Cineres ~ III. classis,35,5,1,1,,septuagesima,metadata,untranslated,false
calendar-title-0ee177a8aac55d6ffce2,heading,calendar-title,Feria Secunda infra Hebdomadam IV in Quadragesima ~ III. classis,64,9,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-0f6beec20f83ebbc6989,heading,calendar-title,Feria Sexta infra Hebdomadam Passionis ~ III. classis,53,7,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-103e5490d84583a81cae,heading,calendar-title,Dominica III Post Pentecosten ~ II. classis,43,6,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1333f888d2d944cc6152,heading,calendar-title,In Commemoratione S. Pauli Apostoli ~ III. classis,50,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1389895c4310f9605596,heading,calendar-title,Feria Sexta infra Hebdomadam XXII post Octavam Pentecostes V. Octobris ~ IV. classis,84,12,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-13ad65dadc8ab6a6bfb5,heading,calendar-title,S. Martinæ Virginis et Martyris ~ III. classis,46,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-143aba95ea437eda94dd,heading,calendar-title,In Nativitate Beatæ Mariæ Virginis ~ II. classis,48,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1470b0a6eb1ff8a1ae09,heading,calendar-title,S. Pii V Papæ et Confessoris ~ III. classis,43,8,1,1,,eastertide,metadata,untranslated,false
calendar-title-1649bff60d6bd8da8bc6,heading,calendar-title,Feria Quarta Quattuor Temporum Quadragesimæ ~ II. classis,57,7,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-176cb19fb9646cb85ef6,heading,calendar-title,Feria Quinta infra Hebdomadam II in Quadragesima ~ III. classis,63,9,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-1777d9d7729f43e6ca7c,heading,calendar-title,Dominica III in Quadragesima ~ I. classis,41,6,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-178c8a59041dc638e4da,heading,calendar-title,S. Joannis Bosco Confessoris ~ III. classis,43,6,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1998f1a717de27ca6d81,heading,calendar-title,S. Augustini Episcopi et Confessoris et Ecclesiæ Doctoris ~ III. classis,72,10,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1cea4b2a26626ba4e2aa,heading,calendar-title,"Ss. Septem Fratrum Martyrum, ac Rufinæ et Secundæ Virginum et Martyrum ~ III. classis",85,13,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1cf14a43d8c6c6331114,heading,calendar-title,Feria Quinta infra Hebdomadam III in Quadragesima ~ III. classis,64,9,1,1,,lent-passiontide,metadata,untranslated,false
calendar-title-1dfd1cf6edf0c5932b1d,heading,calendar-title,Ss. Philippi et Jacobi Apostolorum ~ II. classis,48,7,1,1,,eastertide,metadata,untranslated,false
calendar-title-1ea4b95457e789359ee5,heading,calendar-title,S. Norberti Episcopi et Confessoris ~ III. classis,50,7,1,1,,time-after-pentecost,metadata,untranslated,false
calendar-title-1ebeebd776af3020236d,heading,calendar-title,Die IV infra octavam Paschæ ~ Dies Octavæ I. classis,52,9,1,1,,eastertide,metadata,untranslated,false
