corpus_id,type,latin_preview,status,occurrence_count,primary_workbook,representative_contexts
calendar-title-007de1c421abdffddbc1,heading,S. Margaritæ Mariæ Alacoque Virginis ~ III. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-10-17 calendar calendar-title
calendar-title-014ea151b4f9619158dd,heading,Feria VI Quattuor Temporum Adventus ~ II. classis,untranslated,1,workbooks/by-season/advent.md,2026-12-18 calendar calendar-title
calendar-title-022497fce3ae6bb9afcd,heading,Feria quinta infra Hebdomadam VI post Octavam Pentecostes ~ IV. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-07-09 calendar calendar-title
calendar-title-0320733f019ea870f639,heading,S. Agathæ Virginis et Martyris ~ III. classis,untranslated,1,workbooks/by-season/septuagesima.md,2026-02-05 calendar calendar-title
calendar-title-05156707aea80bc893e2,heading,Feria quinta infra Hebdomadam IX post Octavam Pentecostes ~ IV. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-07-30 calendar calendar-title
calendar-title-05c449071129846da7dc,heading,Feria Sexta Quattuor Temporum Septembris ~ II. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-09-25 calendar calendar-title
calendar-title-07605a5b72900a5cc78a,heading,Feria Quinta infra Hebdomadam XXI post Octavam Pentecostes IV. Octobris ~ IV. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-10-22 calendar calendar-title
calendar-title-084544deba21bd07ef9e,heading,In Dedicatione S. Michaëlis Archangelis ~ I. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-09-29 calendar calendar-title
calendar-title-0847728254cea7a41f98,heading,Dominica Pentecostes ~ I. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-05-24 calendar calendar-title
calendar-title-087a52a02ae512c5b1d7,heading,S. Hedwigis Viduæ ~ III. classis,untranslated,1,workbooks/by-season/time-after-pentecost.md,2026-10-16 calendar calendar-title
calendar-title-09b760937cc8a95070a7,heading,S. Andreæ Corsini Episcopi et Confessoris ~ III. classis,untranslated,1,workbooks/by-season/septuagesima.md,2026-02-04 calendar calendar-title
